Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Due Date,Votes,Description,Environment,Watchers,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Custom field (Account),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Iteration),Custom field (Rank),Sprint,Sprint,Custom field (Story Points),Custom field (Team),Custom field (Team Role)
"Check whether a logged user liked a committed activity,comment and reply or not",KAR-350,14558,,Story,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,30/Oct/19 2:05 PM,19/Nov/19 9:10 AM,19/Nov/19 9:57 AM,18/Nov/19 4:45 PM,Server side,13/Nov/19 12:00 AM,0,"As a User, He knows whether he liked a committed activity or not",,sarangibalu.a,"Done;07/Nov/19 11:52 AM;sarangibalu.a;4260",";18/Nov/19 4:45 PM;sarangibalu.a;1800",,0,0,6060,"9,223,372,036,854,775,807%",10800,1800,21660,,KAR-61,,,KAR-61,,,,"0|i00upg:p",KAR Sprint 3,KAR Sprint 4,,,
Add the logic to retrieve comments and reply of committed activity with elapsed time and find all committed activities by registered user and status for karma-app,KAR-419,15390,15097,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,13/Nov/19 10:44 AM,18/Nov/19 10:27 AM,18/Nov/19 10:27 AM,18/Nov/19 10:27 AM,Server side,13/Nov/19 12:00 AM,0,Add the logic to retrieve comments and reply of committed activity with elapsed time for karma-app,,sarangibalu.a,"Done;13/Nov/19 10:44 AM;sarangibalu.a;1800","done;14/Nov/19 4:51 PM;sarangibalu.a;10320",,1800,0,12120,673%,1800,0,12120,,KAR-393,,,,,,,"0|i00wen:",KAR Sprint 3,,,,
Retrieve all committed activities in descending order of elapsed time to the Karma App and find all committed activities by registered user id and status,KAR-393,15097,,Story,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,08/Nov/19 3:32 PM,15/Nov/19 11:21 AM,18/Nov/19 10:27 AM,15/Nov/19 11:21 AM,Server side,12/Nov/19 12:00 AM,0,"As a user, I wish to see all committed activities in descending order of elapsed time",,sarangibalu.a,"Done;09/Nov/19 12:20 PM;sarangibalu.a;5400",,,0,0,5400,"9,223,372,036,854,775,807%",5400,0,21120,,,,,KAR-64,,,,"0|i00049:o9",KAR Sprint 3,,,,
Calculate the number of completed tasks of a registered user for the gateway,KAR-434,15460,,Story,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,13/Nov/19 9:02 PM,13/Nov/19 10:42 PM,19/Nov/19 9:58 AM,13/Nov/19 10:39 PM,Server side,13/Nov/19 12:00 AM,0,Calculate the number of completed tasks of a registered user for the gateway,,sarangibalu.a,,,,1800,1800,,0%,3600,1800,6180,,KAR-1,,,KAR-1,,,,"0|i00049:oc",KAR Sprint 3,,,,
Add the logic to get the no of completed tasks of the registered user,KAR-435,15461,15460,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,13/Nov/19 9:05 PM,13/Nov/19 10:39 PM,19/Nov/19 9:58 AM,13/Nov/19 10:39 PM,Server side,13/Nov/19 12:00 AM,0,Add the logic to get the no of completed tasks of the registered user,,sarangibalu.a,"Done;13/Nov/19 10:38 PM;sarangibalu.a;6180",,,1800,0,6180,343%,1800,0,6180,,KAR-434,,,,,,,"0|i00wu7:",KAR Sprint 3,,,,
Unlove comment and reply ,KAR-428,15424,,Story,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,13/Nov/19 2:57 PM,13/Nov/19 6:30 PM,19/Nov/19 9:58 AM,13/Nov/19 6:30 PM,Server side,13/Nov/19 12:00 AM,0,Unlove comment and reply for karma App,,sarangibalu.a,,,,,,,,3600,0,3600,,KAR-61,,,KAR-61,,,,"0|i00049:qi",KAR Sprint 3,,,,
Add the Api's to unlove comment and reply for karmaApp,KAR-425,15420,,Story,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,13/Nov/19 2:49 PM,13/Nov/19 6:30 PM,19/Nov/19 9:58 AM,13/Nov/19 6:28 PM,,,0,Add the Api's to unlove comment and reply,,sarangibalu.a,,,,3600,3600,,0%,7200,3600,3600,,KAR-64,,,KAR-64,,,,"0|i00049:q",KAR Sprint 3,,,,
Add the logic to unlove reply,KAR-430,15426,15424,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,13/Nov/19 2:59 PM,13/Nov/19 6:29 PM,19/Nov/19 9:58 AM,13/Nov/19 6:29 PM,Server side,13/Nov/19 12:00 AM,0,Add the logic to unlove reply,,sarangibalu.a,"Done;13/Nov/19 6:29 PM;sarangibalu.a;1800",,,1800,0,1800,100%,1800,0,1800,,KAR-428,,,,,,,"0|i00wmf:",KAR Sprint 3,,,,
Add the Api's to unlove reply,KAR-427,15422,15420,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,13/Nov/19 2:52 PM,13/Nov/19 6:27 PM,19/Nov/19 9:58 AM,13/Nov/19 6:27 PM,Server side,13/Nov/19 12:00 AM,0,Add the Api's to unlove reply,,sarangibalu.a,"Done;13/Nov/19 6:27 PM;sarangibalu.a;1800",,,1800,0,1800,100%,1800,0,1800,,KAR-425,,,,,,,"0|i00wlj:",KAR Sprint 3,,,,
Retrieve comments and reply of committed activity with elapsed time for karma-app,KAR-418,15389,,Story,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,13/Nov/19 10:43 AM,13/Nov/19 2:46 PM,19/Nov/19 9:58 AM,13/Nov/19 2:46 PM,Server side,13/Nov/19 12:00 AM,0,Retrieve comments and reply of committed activity with elapsed time for karma-app,,sarangibalu.a,,,,,,,,5400,1800,3600,,KAR-64,,,KAR-64,,,,"0|i00049:p",KAR Sprint 3,,,,
